date,species,individual,type unit,numero unit,heure UTC ON,heure UTC calibr start,Type Calibr start,heure UTC calibr end,Type Calibr end,heure UTC OFF,Frequence (Hz),Rem
27/06/2018,VF,HENRI,AXY1,3,09:16:50,09:31:00,5 heave + 5 surge + sway,15:43:45,5 heave + 5 surge + sway,16:06:00,25,
27/06/2018,VF,GREGOIRE,AXY1,4,09:16:40,09:31:00,5 heave + 5 surge + sway,15:43:45,5 heave + 5 surge + sway,16:06:20,25,
27/06/2018,VR,KIRIKOU,AGM,5,09:17:50,09:31:00,5 heave + 5 surge + sway,15:43:45,5 heave + 5 surge + sway,,25,Heure UTC off at 16:10:10 or 16:11:53?
27/06/2018,VH,GISELE,AGM,6,09:17:40,09:31:00,5 heave + 5 surge + sway,15:43:45,5 heave + 5 surge + sway,16:08:10,25,
27/06/2018,VH,GAELLE,AGM,7,09:17:30,09:31:00,5 heave + 5 surge + sway,15:43:45,5 heave + 5 surge + sway,,25,Heure UTC off at 16:12:30 or 16:13:29?
27/06/2018,PYGTB,MANU/KHAN,AXY3,10,,,,,,,25,LOST
27/06/2018,VF,LEON,ORNI,66,09:00:00,09:31:00,5 heave + 5 surge + sway,15:43:45,5 heave + 5 surge + sway,,2,16:12:30 ou 16:13:29
27/06/2018,VF,HERCULE,ORNI,89,09:00:00,09:31:00,5 heave + 5 surge + sway,15:43:45,5 heave + 5 surge + sway,,2,
27/06/2018,PYGTB,LAFAYETTE,ORNI,88,09:00:00,,,15:43:45,,15:46:00,2,pas de calib start
28/06/2018,RAV,MANU,GIPSY1,4,09:02:20,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:18:30,4,
28/06/2018,VR,KIRIKOU,GIPSY1,14,09:02:20,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:18:30,4,
28/06/2018,CONDOR,KUZCO,GIPSY1,5,09:02:20,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:18:30,4,
28/06/2018,VH,GISELE,GIPSY1,13,09:02:20,09:29:35,5 heave + 5 surge + sway,15:15:30,5 heave + 5 surge + sway,15:18:30,4,
