matchID,date,group,age,species,individual,GPS_id,ACC_id,harness_type,flight,heure.UTC.release.first,TAKE.OFF.Heure.UTC.GPS,LANDING.Heure.UTC.GPS,heure.UTC.GROUND,heure.UTC.perch,Notes
29/06/2018_KLEA_Z,29/06/2018,NA,NA,Black Kite,KLEA,Z,Z,NA,2,12:43:30,,,NA,NA,LOST GPS AT Z
29/06/2018_KLEA_G,29/06/2018,2,young,Black Kite,KLEA,G,G,BackPack,3,??,NA,NA,about 14:17:00,NA,
29/06/2018_KUZCO_B,29/06/2018,2,young,CONDOR,KUZCO,B,1,BackPack,1,11:19:48,11:19:48.00,11:24:53.20,11:24:53,NA,ACC too high values. Calibration not found.
29/06/2018_KUZCO_B,29/06/2018,2,young,CONDOR,KUZCO,B,1,BackPack,2,12:52:??,NA,NA,12:58:??,NA,ACC too high values. Calibration not found.
29/06/2018_LAFAYETTE_J,29/06/2018,2,young,PYGTB,LAFAYETTE,J,J,Tail,1,11:27:20,NA,NA,11:39:30,NA,Second flight without tail logger
29/06/2018_LEON_14,29/06/2018,2,young,VF,LEON,14,2,LegLoop,1,11:19:55,11:19:53.75,11:39:25.25,11:39:26,NA,
29/06/2018_LEON_14,29/06/2018,2,young,VF,LEON,14,2,LegLoop,2,12:52:40,12:52:40.00,12:57:52.00,12:58:50,NA,
29/06/2018_LEON_14,29/06/2018,2,young,VF,LEON,14,2,LegLoop,3,14:23:35,14:24:12.25,14:30:19.25,14:31:28,NA,
29/06/2018_MANU_180051,29/06/2018,1,old,RAV,MANU,180051,180051,LegLoop,1,11:18:50,NA,NA,11:25:16,NA,
30/06/2018_DAGOBERT_H,30/06/2018,no group,NA,PYGTB,DAGOBERT,H,H,Tail,2,12:59:00,422727,496452,13:09:58,NA,
30/06/2018_DAKOTA_J,30/06/2018,no group,NA,PYGTB,DAKOTA,J,J,Tail,1,11:29:00,288402,301627,11:37:40,NA,
30/06/2018_DAKOTA_J,30/06/2018,no group,NA,PYGTB,DAKOTA,J,J,Tail,2,12:59:00,423502,436327,13:07:44,NA,
30/06/2018_GAELLE_3,30/06/2018,1,young,VH,GAELLE,3,3,BackPack,1,11:17:37,11:17:33.75,11:42:09.25,11:42:09,NA,
30/06/2018_GAELLE_3,30/06/2018,1,young,VH,GAELLE,3,3,BackPack,2,12:46:17,12:46:16.25,12:59:54.75,13:00:00,13:00:30,
30/06/2018_GAELLE_3,30/06/2018,1,young,VH,GAELLE,3,3,BackPack,3,14:19:08,14:19:06.00,14:41:35.00,14:41:35,14:42:16,
30/06/2018_GISELE_6,30/06/2018,2,old,VH,GISELE,6,6,LegLoop,1,11:20:29,11:20:33.75,12:18:14.50,12:18:15,12:19:15,
30/06/2018_GISELE_6,30/06/2018,2,old,VH,GISELE,6,6,LegLoop,2,12:48:59,12:49:01.75,13:30:44.25,13:30:44,NA,
30/06/2018_GISELE_6,30/06/2018,2,old,VH,GISELE,6,6,LegLoop,3,14:20:55,14:20:54.25,14:42:36.75,14:42:00,14:43:33,
30/06/2018_GREGOIRE_13,30/06/2018,2,old,VF,GREGOIRE,13,7,BackPack,1,11:20:52,11:20:51.75,11:46:07.50,11:46:06,11:47:28,
30/06/2018_GREGOIRE_13,30/06/2018,2,old,VF,GREGOIRE,13,7,BackPack,3,14:21:12,14:21:11.50,14:49:38.00,14:49:40,NA,
30/06/2018_GREGOIRE_13,30/06/2018,2,old,VF,GREGOIRE,13,7,BackPack,2,12:49:29,12:49:27.50,13:13:19.00,13:13:20,NA,
30/06/2018_HENRI_180087,30/06/2018,2,old,VF,HENRI,180087,180087,LegLoop,2,12:49:14,NA,NA,12:58:55,NA,1st flight : no tag
30/06/2018_HENRI_180087,30/06/2018,2,old,VF,HENRI,180087,180087,LegLoop,3,14:21:00,NA,NA,14:43:45,14:44:30,1st flight : no tag
30/06/2018_HERCULE_180066 ,30/06/2018,1,young,VF,HERCULE,180066,180066,BackPack,1,11:17:??,NA,NA,NA,NA,
30/06/2018_HERCULE_180088,30/06/2018,1,young,VF,HERCULE,180088,180088,BackPack,2,12:45:??,NA,NA,12:57:40,12:58:20,
30/06/2018_HERCULE_180088,30/06/2018,1,young,VF,HERCULE,180088,180088,BackPack,3,14:21:15,NA,NA,14:25:20,NA,
30/06/2018_KHAN_I,30/06/2018,1,young,RAV,KHAN,I,I,Tail,1,11:18:20,272802,361052,12:17:10,NA,
30/06/2018_KIRIKOU_5,30/06/2018,1,young,VR,KIRIKOU,5,5,LegLoop,1,11:16:30,11:16:29.00,11:46:09.25,11:46:08,NA,
30/06/2018_KIRIKOU_5,30/06/2018,1,young,VR,KIRIKOU,5,5,LegLoop,2,12:45:38,12:45:36.50,12:59:44.00,12:59:49,13:00:07,
30/06/2018_KIRIKOU_5,30/06/2018,1,young,VR,KIRIKOU,5,5,LegLoop,3,14:18:33,14:19:35.25,14:49:38.50,14:49:40,NA,
30/06/2018_KLEA_G,30/06/2018,no group,NA,Black Kite,KLEA,G,G,BackPack,1,11:13:00,260777,284802,NA,NA,
30/06/2018_KLEA_G,30/06/2018,no group,NA,Black Kite,KLEA,G,G,BackPack,2,12:39:00,396352,430627,13:04:02,NA,
30/06/2018_KUZCO_14,30/06/2018,1,young,CONDOR,KUZCO,14,2,BackPack,1,11:17:??,11:20:12.50,11:26:38.00,11:26:45,11:27:58,
30/06/2018_KUZCO_14,30/06/2018,1,young,CONDOR,KUZCO,14,2,BackPack,2,12:45:38,12:45:38.75,13:12:24.50,13:12:27,NA,
30/06/2018_LAFAYETTE_H,30/06/2018,no group,NA,PYGTB,LAFAYETTE,H,H,Tail,1,11:28:45,288452,305852,11:40:10,NA,no data after 1st flight because logger turn off
30/06/2018_LAFAYETTE_H,30/06/2018,no group,NA,PYGTB,LAFAYETTE,H,H,Tail,3,14:29:34,no data,no data,14:32:30,NA,no data after 1st flight because logger turn off
30/06/2018_LEON_4,30/06/2018,1,young,VF,LEON,4,4,BackPack,1,11:17:56,11:17:58.00,11:28:41.50,11:28:26,NA,got rid of the harness for 2 et 3rd flight
30/06/2018_MANU_B,30/06/2018,2,old,RAV,MANU,B,1,LegLoop,2,12:49:29,12:49:29.00,13:23:01.00,13:23:04,NA,
30/06/2018_RANTANPLAN_J,30/06/2018,no group,NA,PYGTB,RANTANPLAN,J,J,Tail,3,14:29:20,558852,596727,14:55:55,NA,
